"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,subjectparticipant_basic_information,,text,"Record ID",,,,,,,,,,,,,
selected_language,subjectparticipant_basic_information,,radio,Language,"1, English | 2, Español | 3, Français",,,,,,,y,,,,,
consent_status,subjectparticipant_basic_information,,radio,"Consent Status","1, Pending | 2, Consented | 3, Withdrawn Consent",,,,,,,y,,,,,
withdrawn_consent_reason,subjectparticipant_basic_information,,text,"Withdrawn Consent Reason",,,,,,,"[consent_status] = 3",,,,,,
withdrawn_consent_date,subjectparticipant_basic_information,,text,"Withdrawn Consent Date",,,date_mdy,,,,"[consent_status] = 3",,,,,,
enrolled,subjectparticipant_basic_information,"Enrollment Details",yesno,Enrolled,,,,,,,,y,,,,,
enrollment_reason,subjectparticipant_basic_information,,text,"<div class=""rich-text-field-label""><p>Enrollment Reason</p> <p>To be completed when enrolling a person that declined initially.</p></div>",,,,,,,"[enrolled] = 1",,,,,,
enrollment_institution,subjectparticipant_basic_information,,radio,"Enrollment Institution","BCH, BCH | MIT, MIT | mt_sinai, Mt. Sinai | USF, USF | VUMC, VUMC | WCM, WCM",,,,,,,y,,,,,
researcher_email,subjectparticipant_basic_information,,text,"Researcher Email",,,email,,,,,y,,,,,
first_name,subjectparticipant_contact_information,"Contact Information",text,"First Name",,,,,,y,,y,,,,,
last_name,subjectparticipant_contact_information,,text,"Last Name",,,,,,y,,y,,,,,
dob,subjectparticipant_contact_information,,text,"What is your date of birth?",,,date_ymd,,,y,,y,,,,,
phone_number,subjectparticipant_contact_information,,text,"Phone Number",,###-###-####,phone,,,y,,y,,,,,
email,subjectparticipant_contact_information,,text,Email,,,email,,,y,,y,,,,,
contact_info_stored,subjectparticipant_contact_information,,yesno,"I want my contact information to be kept in a repository for this study which can be used to contact me to ask me to enroll in further studies or return important results. 

My information will not be shared with third parties.",,,,,,,,y,,,,,
eligible_studies,subjectparticipant_eligible_studies,"Eligible Studies",checkbox,"Eligible Studies","1, Voice Disorders | 2, Neurological and Neurodegenerative Disorders | 3, Mood and Psychiatric Disorders | 4, Respiratory Disorders | 5, Pediatric Disorders",,,,,,,y,,,,,
laryng_cancer,subjectparticipant_eligible_studies,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""><p><span style=""text-decoration: underline;"">Do you have any of these conditions, diagnosed by a clinician?</span>
<em><span style=""text-decoration: underline;"">(Check all that apply if you currently have the condition)</span></em></p></div></div>

Voice Disorders",radio,"Laryngeal cancer","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
benign_cord_lesion,subjectparticipant_eligible_studies,,radio,"Lesions of the vocal cord (nodule, polyp, cyst)","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
rrp,subjectparticipant_eligible_studies,,radio,"Recurrent laryngeal papilloma (RRP)","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
spas_dys,subjectparticipant_eligible_studies,,radio,"Spasmodic dysphonia / Laryngeal Tremor","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
voc_fold_paralysis,subjectparticipant_eligible_studies,,radio,"Vocal fold paralysis","0, Unchecked | 1, Checked",,,,,,,y,,,voice_disorders,,
alz_dementia_mci,subjectparticipant_eligible_studies,"Neurological and Neurodegenerative Disorders",radio,"Alzheimer's, dementia, or mild cognitive impairment","0, Unchecked | 1, Checked",,,,,,,y,,,neuro_neurodeg_dis,,
als,subjectparticipant_eligible_studies,,radio,"Amyotrophic Lateral Sclerosis (ALS)","0, Unchecked | 1, Checked",,,,,,,y,,,neuro_neurodeg_dis,,
parkinsons,subjectparticipant_eligible_studies,,radio,"Parkinson's disease","0, Unchecked | 1, Checked",,,,,,,y,,,neuro_neurodeg_dis,,
alcohol_subst_abuse,subjectparticipant_eligible_studies,"Mood and Psychiatric Disorders",radio,"Alcohol or Substance Use Disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
gad,subjectparticipant_eligible_studies,,radio,"Anxiety disorder","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
add_adhd,subjectparticipant_eligible_studies,,radio,"Attention-Deficit / Hyperactivity Disorder (ADHD)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
asd,subjectparticipant_eligible_studies,,radio,"Autism Spectrum Disorder (ASD)","0, Unchecked | 1, Checked",,,,,,,y,,,mood_psych_dis,,
